tradingitemid,ind_long,ind_short,proba_long,proba_short,marketcap,volume,beta,borrowcost,borrowavailability_base
66978878,0,1,0.3797175959,0.6202824041,2300.03268,11555380,0.1220754884,7.61566,1082265
61530605,0,1,0.3797175959,0.6202824041,,,,,
62698718,0,1,0.3797175959,0.6202824041,,,,,
70011082,0,1,0.3797175959,0.6202824041,564.089039,780455,-0.1209014525,0.1053571429,4378640
73428413,0,1,0.3797175959,0.6202824041,398.47254,454290,1.6193318,0.0047537257,8742850
46422061,0,1,0.3797175959,0.6202824041,,,,,
79599896,0,1,0.3797175959,0.6202824041,7639.38884,1303725,-0.8396069514,0.2153571429,35222430
41729785,0,1,0.3797175959,0.6202824041,,,,,
24111625,0,1,0.3797175959,0.6202824041,2009.178,771215,0.7851743347,0.6180842857,1006635
39657621,0,1,0.3797175959,0.6202824041,243.789058,9535,-1.617212064,0.0047537257,566000
81587046,0,1,0.3797175959,0.6202824041,148.73256,259560,0.03262985172,0.0047537257,5300405
79599032,0,1,0.3797175959,0.6202824041,680.48025,230930,-0.7809712833,0.3539285714,5696480
81626042,0,1,0.3797175959,0.6202824041,,,,,
79240537,0,1,0.3797175959,0.6202824041,2307.698839,2486485,5.23436611,0.017221244,98928815
79217305,0,1,0.3797175959,0.6202824041,2419.964,665,0.5528840575,0.25,0
79217304,0,1,0.3797175959,0.6202824041,2419.964,1505050,0.4878576818,0.25,18206755
83337628,0,1,0.3797175959,0.6202824041,402.85404,665770,0.3054657593,0.0047537257,8835920
